Ticker,Status,SourceUsed,Rows,FirstDate,LastDate,Message
VT,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
ACWI,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
SPY,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
QQQ,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
IWM,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
RSP,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLK,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLF,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLV,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLI,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLY,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLP,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLE,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLB,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLU,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLRE,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XLC,OK,yahoo,1981,2018-06-19,2026-05-06,Downloaded successfully
SMH,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
KRE,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
IYT,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
ITB,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XHB,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
IBB,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
XBI,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
KWEB,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
JETS,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
OIH,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
VEA,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
VXUS,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
EZU,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
FEZ,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
EWJ,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
EWY,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
EWZ,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
EEM,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
FXI,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
MCHI,OK,yahoo,2097,2018-01-02,2026-05-06,Downloaded successfully
